detector,L,theta_delta_S,theta_R,collapse_role,sens_sddb,n_sddb,n_detected_sddb,sens_vfdb,n_vfdb,n_detected_vfdb,sens_all,n_all,n_detected_all,median_lead_h_all,far_per_24h,total_episodes,total_search_hours,n_controls,fraction_controls_alarmed,clear_advance,far_ok,sens_ok,far_cap,delta_sens_vs_opc,far_ratio_vs_opc,score_reason
I0_dS0.08_R5,50,0.08,5,none,1.0,11,11,0.6818181818181818,22,15,0.7878787878787878,33,26,0.2847405497233073,40.133802683601026,301.0,179.99789496527777,18,1.0,False,False,True,7.466753988,0.3636363636787878,10.749999999491353,FAR=40.1338 exceeds cap 2×OPC=7.4668; one-sided: sens meets 0.65 but FAR still > 2×OPC (not success)
I0_dS0.08_R8,50,0.08,8,none,1.0,11,11,0.5454545454545454,22,12,0.696969696969697,33,23,0.331457773844401,37.33376993823351,280.0,179.99789496527777,18,1.0,False,False,True,7.466753988,0.272727272769697,9.999999999526839,FAR=37.3338 exceeds cap 2×OPC=7.4668; one-sided: sens meets 0.65 but FAR still > 2×OPC (not success)
I0_dS0.08_R10,50,0.08,10,none,1.0,11,11,0.45454545454545453,22,10,0.6363636363636364,33,21,2.714308810763889,35.46708144132184,266.0,179.99789496527777,18,1.0,False,False,False,7.466753988,0.21212121216363633,9.499999999550498,FAR=35.4671 exceeds cap 2×OPC=7.4668; sens_all=0.6364 below min 0.65
I0_dS0.08_R12,50,0.08,12,none,1.0,11,11,0.4090909090909091,22,9,0.6060606060606061,33,20,1.684742702907986,33.867062729683255,254.0,179.99789496527777,18,1.0,False,False,False,7.466753988,0.18181818186060605,9.071428570999347,FAR=33.8671 exceeds cap 2×OPC=7.4668; sens_all=0.6061 below min 0.65
I0_dS0.10_R5,50,0.1,5,none,1.0,11,11,0.4090909090909091,22,9,0.6060606060606061,33,20,3.4704789225260417,34.13373251495636,256.0,179.99789496527777,18,1.0,False,False,False,7.466753988,0.18181818186060605,9.142857142424539,FAR=34.1337 exceeds cap 2×OPC=7.4668; sens_all=0.6061 below min 0.65
I0_dS0.10_R8,50,0.1,8,none,1.0,11,11,0.36363636363636365,22,8,0.5757575757575758,33,19,2.714912109375,30.933695091679198,232.0,179.99789496527777,18,1.0,False,False,False,7.466753988,0.15151515155757578,8.28571428532224,FAR=30.9337 exceeds cap 2×OPC=7.4668; sens_all=0.5758 below min 0.65
I0_dS0.10_R10,50,0.1,10,none,1.0,11,11,0.36363636363636365,22,8,0.5757575757575758,33,19,2.714308810763889,27.466987883128944,206.0,179.99789496527777,18,1.0,False,False,False,7.466753988,0.15151515155757578,7.357142856794747,FAR=27.4670 exceeds cap 2×OPC=7.4668; sens_all=0.5758 below min 0.65
I0_dS0.10_R12,50,0.1,12,none,1.0,11,11,0.36363636363636365,22,8,0.5757575757575758,33,19,1.6498133680555558,25.066959815671073,188.0,179.99789496527777,18,1.0,False,False,False,7.466753988,0.15151515155757578,6.714285713968021,FAR=25.0670 exceeds cap 2×OPC=7.4668; sens_all=0.5758 below min 0.65
I0_dS0.12_R5,50,0.12,5,none,0.9090909090909091,11,10,0.2727272727272727,22,6,0.48484848484848486,33,16,2.180259467230903,25.600299386217262,192.0,179.99789496527777,18,1.0,False,False,False,7.466753988,0.06060606064848484,6.857142856818403,FAR=25.6003 exceeds cap 2×OPC=7.4668; sens_all=0.4848 below min 0.65
I0_dS0.12_R8,50,0.12,8,none,0.7272727272727273,11,8,0.22727272727272727,22,5,0.3939393939393939,33,13,2.708978949652778,21.466917714484268,161.0,179.99789496527777,18,1.0,False,False,False,7.466753988,-0.0303030302606061,5.749999999727932,FAR=21.4669 exceeds cap 2×OPC=7.4668; sens_all=0.3939 below min 0.65
I0_dS0.12_R10,50,0.12,10,none,0.7272727272727273,11,8,0.22727272727272727,22,5,0.3939393939393939,33,13,2.708458930121528,19.200224539662948,144.0,179.99789496527777,18,1.0,False,False,False,7.466753988,-0.0303030302606061,5.142857142613803,FAR=19.2002 exceeds cap 2×OPC=7.4668; sens_all=0.3939 below min 0.65
I0_dS0.12_R12,50,0.12,12,none,0.7272727272727273,11,8,0.22727272727272727,22,5,0.3939393939393939,33,13,2.707943250868056,16.400191794295434,123.0,179.99789496527777,18,1.0,False,False,False,7.466753988,-0.0303030302606061,4.39285714264929,FAR=16.4002 exceeds cap 2×OPC=7.4668; sens_all=0.3939 below min 0.65
I0_dS0.15_R5,50,0.15,5,none,0.7272727272727273,11,8,0.18181818181818182,22,4,0.36363636363636365,33,12,2.5783249240451385,13.466824156291374,101.0,179.99789496527777,18,1.0,False,False,False,7.466753988,-0.06060606056363638,3.6071428569721813,FAR=13.4668 exceeds cap 2×OPC=7.4668; sens_all=0.3636 below min 0.65
I0_dS0.15_R8,50,0.15,8,none,0.7272727272727273,11,8,0.18181818181818182,22,4,0.36363636363636365,33,12,1.5578995768229174,10.533456518287313,79.0,179.99789496527777,18,1.0,False,False,False,7.466753988,-0.06060606056363638,2.8214285712950726,FAR=10.5335 exceeds cap 2×OPC=7.4668; sens_all=0.3636 below min 0.65
I0_dS0.15_R10,50,0.15,10,none,0.7272727272727273,11,8,0.18181818181818182,22,4,0.36363636363636365,33,12,1.5575222439236107,9.06677269928528,68.0,179.99789496527777,18,1.0,False,False,False,7.466753988,-0.06060606056363638,2.428571428456518,FAR=9.0668 exceeds cap 2×OPC=7.4668; sens_all=0.3636 below min 0.65
I0_dS0.15_R12,50,0.15,12,none,0.7272727272727273,11,8,0.18181818181818182,22,4,0.36363636363636365,33,12,1.557087944878473,7.733423772919799,58.0,179.99789496527777,18,0.8888888888888888,False,False,False,7.466753988,-0.06060606056363638,2.07142857133056,FAR=7.7334 exceeds cap 2×OPC=7.4668; sens_all=0.3636 below min 0.65
